Loading dataset...
Downloading https://www.cs.toronto.edu/~kriz/cifar-10-python.tar.gz to ./data/raw/cifar-10-python.tar.gz
100% 170498071/170498071 [00:06<00:00, 24857119.72it/s]
Extracting ./data/raw/cifar-10-python.tar.gz to ./data/raw
Creating retain/forget splits...
  Retain set size: 45000
  Forget set size: 5000
  Retain train: 40500, Retain val: 4500
  Forget train: 4500, Forget val: 500
Creating data loaders...
Data loaders created. Training will start now...
Configuration: epochs=5, batch_size=32, device=cuda
Running fine-tuning unlearning...
/usr/local/lib/python3.12/dist-packages/torchvision/models/_utils.py:208: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and may be removed in the future, please use 'weights' instead.
  warnings.warn(
/usr/local/lib/python3.12/dist-packages/torchvision/models/_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and may be removed in the future. The current behavior is equivalent to passing `weights=None`.
  warnings.warn(msg)

[Fine-tune 1/5] Starting epoch...
Epoch: [3][1059/1266]	Loss 0.9459 (1.2713)	Accuracy 62.500 (54.351)	Time 0.77
Epoch: [3][1079/1266]	Loss 1.1802 (1.2705)	Accuracy 68.750 (54.401)	Time 0.78
Epoch: [3][1099/1266]	Loss 1.4612 (1.2711)	Accuracy 46.875 (54.423)	Time 0.77
Epoch: [3][1119/1266]	Loss 1.3587 (1.2708)	Accuracy 43.750 (54.450)	Time 0.77
Epoch: [3][1139/1266]	Loss 1.2793 (1.2713)	Accuracy 56.250 (54.435)	Time 0.77
Epoch: [3][1159/1266]	Loss 1.5178 (1.2717)	Accuracy 43.750 (54.456)	Time 0.78
Epoch: [3][1179/1266]	Loss 1.2068 (1.2700)	Accuracy 59.375 (54.518)	Time 0.81
Epoch: [3][1199/1266]	Loss 1.5221 (1.2694)	Accuracy 50.000 (54.576)	Time 0.82
Epoch: [3][1219/1266]	Loss 1.1263 (1.2685)	Accuracy 56.250 (54.626)	Time 0.85
Epoch: [3][1239/1266]	Loss 1.6347 (1.2684)	Accuracy 53.125 (54.718)	Time 0.79
Epoch: [3][1259/1266]	Loss 1.1135 (1.2680)	Accuracy 59.375 (54.678)	Time 0.80
train_accuracy 54.699
   tr_acc: 0.5908
   tf_acc: 0.5609
   vr_acc: 0.5584
   vf_acc: 0.5060

[Fine-tune 4/5] Starting epoch...
Epoch: [4][19/1266]	Loss 1.1676 (1.2585)	Accuracy 56.250 (56.875)	Time 0.78
Epoch: [4][39/1266]	Loss 1.1359 (1.2171)	Accuracy 56.250 (57.969)	Time 0.79
Epoch: [4][59/1266]	Loss 0.8485 (1.2115)	Accuracy 75.000 (57.812)	Time 0.79
Epoch: [4][79/1266]	Loss 1.1368 (1.2024)	Accuracy 56.250 (58.125)	Time 0.79
Epoch: [4][99/1266]	Loss 1.6170 (1.2029)	Accuracy 40.625 (58.188)	Time 0.79
Epoch: [4][119/1266]	Loss 1.6379 (1.2058)	Accuracy 56.250 (58.125)	Time 0.79
Epoch: [4][139/1266]	Loss 1.0405 (1.2056)	Accuracy 59.375 (57.857)	Time 0.79
Epoch: [4][159/1266]	Loss 1.0362 (1.2090)	Accuracy 65.625 (57.793)	Time 0.79
